[2025-10-22 08:19:46.443] [INFO] === InfoPanel.RTSS Debug Log Started ===
[2025-10-22 08:19:46.444] [INFO] Plugin Directory: C:\ProgramData\InfoPanel\plugins\InfoPanel.RTSS
[2025-10-22 08:19:46.444] [INFO] Assembly Location: C:\ProgramData\InfoPanel\plugins\InfoPanel.RTSS\InfoPanel.RTSS.dll
[2025-10-22 08:19:46.444] [INFO] === InfoPanel.RTSS Constructor Called ===
[2025-10-22 08:19:46.445] [INFO] DXGIFrameMonitoringService initialized
[2025-10-22 08:19:46.445] [INFO] PerformanceMonitoringService initialized with DXGI frame monitoring
[2025-10-22 08:19:46.448] [INFO] StableFullscreenDetectionService initialized
[2025-10-22 08:19:46.449] [INFO] All services initialized successfully
[2025-10-22 08:19:46.449] [INFO] Event subscriptions completed
[2025-10-22 08:19:47.469] [INFO] === RTSS Plugin Initialize() called ===
[2025-10-22 08:19:47.504] [INFO] System Information: GPU: AMD Radeon RX 7900 XT, Display: 2560 x 1440@60Hz
[2025-10-22 08:19:47.504] [INFO] Continuous monitoring task started
[2025-10-22 08:19:47.504] [INFO] Initial window check task started
[2025-10-22 08:19:47.504] [INFO] RTSS Plugin initialization completed successfully
[2025-10-22 08:19:47.504] [INFO] === RTSS Plugin Load() called ===
[2025-10-22 08:19:47.504] [INFO] Sensors created and registered with InfoPanel
[2025-10-22 08:19:47.505] [INFO] System sensors updated with initial information
[2025-10-22 08:19:47.505] [INFO] === SIMPLIFIED CONTINUOUS MONITORING STARTED ===
[2025-10-22 08:19:47.510] [INFO] 🚫 Blacklisted process detected: TextInputHost (PID: 13896)
[2025-10-22 08:19:47.512] [INFO] 🚫 Blacklisted process detected: explorer (PID: 7556)
[2025-10-22 08:19:47.822] [INFO] 🚫 Blacklisted process detected: TextInputHost (PID: 13896)
[2025-10-22 08:19:47.825] [INFO] 🚫 Blacklisted process detected: explorer (PID: 7556)
[2025-10-22 08:19:48.009] [INFO] 🚫 Blacklisted process detected: TextInputHost (PID: 13896)
[2025-10-22 08:19:48.012] [INFO] 🚫 Blacklisted process detected: explorer (PID: 7556)
[2025-10-22 08:19:48.831] [INFO] 🚫 Blacklisted process detected: TextInputHost (PID: 13896)
[2025-10-22 08:19:48.834] [INFO] 🚫 Blacklisted process detected: explorer (PID: 7556)
[2025-10-22 08:19:49.839] [INFO] 🚫 Blacklisted process detected: TextInputHost (PID: 13896)
[2025-10-22 08:19:49.843] [INFO] 🚫 Blacklisted process detected: explorer (PID: 7556)
[2025-10-22 08:19:50.524] [INFO] 🚫 Blacklisted process detected: TextInputHost (PID: 13896)
[2025-10-22 08:19:50.527] [INFO] 🚫 Blacklisted process detected: explorer (PID: 7556)
[2025-10-22 08:19:50.853] [INFO] 🚫 Blacklisted process detected: TextInputHost (PID: 13896)
[2025-10-22 08:19:50.856] [INFO] 🚫 Blacklisted process detected: explorer (PID: 7556)
[2025-10-22 08:19:51.869] [INFO] 🚫 Blacklisted process detected: TextInputHost (PID: 13896)
[2025-10-22 08:19:51.871] [INFO] 🚫 Blacklisted process detected: explorer (PID: 7556)
[2025-10-22 08:19:52.877] [INFO] 🚫 Blacklisted process detected: TextInputHost (PID: 13896)
[2025-10-22 08:19:52.879] [INFO] 🚫 Blacklisted process detected: explorer (PID: 7556)
[2025-10-22 08:19:53.532] [INFO] 🚫 Blacklisted process detected: TextInputHost (PID: 13896)
[2025-10-22 08:19:53.535] [INFO] 🚫 Blacklisted process detected: explorer (PID: 7556)
[2025-10-22 08:19:53.892] [INFO] 🚫 Blacklisted process detected: TextInputHost (PID: 13896)
[2025-10-22 08:19:53.894] [INFO] 🚫 Blacklisted process detected: explorer (PID: 7556)
[2025-10-22 08:19:54.901] [INFO] 🚫 Blacklisted process detected: TextInputHost (PID: 13896)
[2025-10-22 08:19:54.904] [INFO] 🚫 Blacklisted process detected: explorer (PID: 7556)
[2025-10-22 08:19:55.915] [INFO] 🚫 Blacklisted process detected: TextInputHost (PID: 13896)
[2025-10-22 08:19:55.917] [INFO] 🚫 Blacklisted process detected: explorer (PID: 7556)
[2025-10-22 08:19:56.550] [INFO] 🚫 Blacklisted process detected: TextInputHost (PID: 13896)
[2025-10-22 08:19:56.552] [INFO] 🚫 Blacklisted process detected: explorer (PID: 7556)
[2025-10-22 08:19:56.920] [INFO] 🚫 Blacklisted process detected: TextInputHost (PID: 13896)
[2025-10-22 08:19:56.923] [INFO] 🚫 Blacklisted process detected: explorer (PID: 7556)
[2025-10-22 08:19:57.932] [INFO] 🚫 Blacklisted process detected: TextInputHost (PID: 13896)
[2025-10-22 08:19:57.934] [INFO] 🚫 Blacklisted process detected: explorer (PID: 7556)
